 00:00:00.000000 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [S], seq 1852594190, win 65535, options [mss 1460,nop,wscale 6,nop,nop,TS val 729676479 ecr 0,sackOK,eol], length 0
 00:00:00.041144 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [S.], seq 1658809771, ack 1852594191, win 28960, options [mss 1400,sackOK,TS val 2521817020 ecr 729676479,nop,wscale 7], length 0
 00:00:00.041193 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 1, win 2060, options [nop,nop,TS val 729676520 ecr 2521817020], length 0
 00:00:00.041270 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [P.], seq 1:122, ack 1, win 2060, options [nop,nop,TS val 729676520 ecr 2521817020], length 121: HTTP: GET /photos/2020-01-29-Monochromatic/IMG_6290.jpg HTTP/1.1
 00:00:00.078315 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], ack 122, win 227, options [nop,nop,TS val 2521817057 ecr 729676520], length 0
 00:00:00.093456 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1:1389, ack 122, win 227, options [nop,nop,TS val 2521817070 ecr 729676520], length 1388: HTTP: HTTP/1.1 200 OK
 00:00:00.099310 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1389:2777, ack 122, win 227, options [nop,nop,TS val 2521817070 ecr 729676520], length 1388: HTTP
 00:00:00.099315 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 2777:4165, ack 122, win 227, options [nop,nop,TS val 2521817070 ecr 729676520], length 1388: HTTP
 00:00:00.099317 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 4165:5553, ack 122, win 227, options [nop,nop,TS val 2521817070 ecr 729676520], length 1388: HTTP
 00:00:00.099319 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 5553:6941, ack 122, win 227, options [nop,nop,TS val 2521817070 ecr 729676520], length 1388: HTTP
 00:00:00.099322 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 6941:8329, ack 122, win 227, options [nop,nop,TS val 2521817070 ecr 729676520], length 1388: HTTP
 00:00:00.099324 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 8329:9717, ack 122, win 227, options [nop,nop,TS val 2521817070 ecr 729676520], length 1388: HTTP
 00:00:00.099326 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 9717:11105, ack 122, win 227, options [nop,nop,TS val 2521817070 ecr 729676520], length 1388: HTTP
 00:00:00.099328 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 11105:12493, ack 122, win 227, options [nop,nop,TS val 2521817070 ecr 729676520], length 1388: HTTP
 00:00:00.099330 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 12493:13881, ack 122, win 227, options [nop,nop,TS val 2521817070 ecr 729676520], length 1388: HTTP
 00:00:00.099386 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 2777, win 2026, options [nop,nop,TS val 729676577 ecr 2521817070], length 0
 00:00:00.099419 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 5553, win 1982, options [nop,nop,TS val 729676577 ecr 2521817070], length 0
